State,County,Votes_Left,Votes_Right,Total_shootings,Normalized_Shootings_rate
Iowa,Carroll County,7720,3444,0,0.000
Iowa,Cass County,4969,2201,0,0.000
Iowa,Cedar County,6161,4336,0,0.000
Iowa,Cerro Gordo County,12435,10941,0,0.000
Iowa,Cherokee County,4495,1936,0,0.000
Iowa,Chickasaw County,4299,2230,1,0.014
Iowa,Clarke County,3140,1466,0,0.000
Iowa,Clay County,6126,2653,0,0.000
Iowa,Clayton County,6105,3339,0,0.000
Iowa,Clinton County,13349,10806,1,0.004
Iowa,Crawford County,4842,2211,0,0.000
Iowa,Dallas County,27882,26771,1,0.002
Iowa,Davis County,3032,1013,0,0.000
Iowa,Decatur County,2613,1117,0,0.000
Iowa,Delaware County,6666,3157,0,0.000
Iowa,Des Moines County,10589,8887,3,0.014
Iowa,Dickinson County,7432,3660,0,0.000
Iowa,Dubuque County,27214,25655,0,0.000
Iowa,Emmet County,3265,1520,0,0.000
Iowa,Fayette County,6145,3834,0,0.000
Iowa,Floyd County,4730,3168,1,0.012
Iowa,Franklin County,3420,1625,0,0.000
Iowa,Fremont County,2711,1078,0,0.000
Iowa,Greene County,3221,1768,0,0.000
Iowa,Grundy County,4911,2194,0,0.000
Iowa,Guthrie County,4272,1985,1,0.015
Iowa,Hamilton County,4956,2842,1,0.012
Iowa,Hancock County,4386,1682,0,0.000
Iowa,Hardin County,5842,2971,1,0.010
Iowa,Harrison County,5563,2439,0,0.000
Iowa,Henry County,6483,3264,0,0.000
Iowa,Howard County,3126,1772,0,0.000
Iowa,Humboldt County,3818,1442,1,0.017
Iowa,Ida County,2876,917,0,0.000
Iowa,Iowa County,6009,3546,1,0.010
Iowa,Jackson County,6940,4029,0,0.000
Iowa,Jasper County,12480,7813,1,0.004
Iowa,Jefferson County,4442,4314,0,0.000
Iowa,Johnson County,22918,59147,2,0.002
Iowa,Jones County,6569,4211,0,0.000
Iowa,Keokuk County,3785,1409,0,0.000
Iowa,Kossuth County,6244,2681,0,0.000
