,State,County,Votes_Left,Votes_Right,total_shootings,shootings_normalized
553,Iowa,Palo Alto County,3369,1518,0,0
554,Iowa,Plymouth County,10472,3483,0,0
555,Iowa,Pocahontas County,2825,932,0,0
556,Iowa,Polk County,106752,146173,0,0
557,Iowa,Pottawattamie County,26241,18570,0,0
558,Iowa,Poweshiek County,5645,4301,0,0
559,Iowa,Ringgold County,1964,708,0,0
560,Iowa,Sac County,4052,1383,0,0
561,Iowa,Scott County,43661,46890,0,0
562,Iowa,Shelby County,4697,1959,0,0
563,Iowa,Sioux County,15669,3017,0,0
564,Iowa,Story County,20200,28975,0,0
565,Iowa,Tama County,5299,3573,0,0
566,Iowa,Taylor County,2459,745,0,0
567,Iowa,Union County,4000,2049,0,0
568,Iowa,Van Buren County,2867,874,0,0
569,Iowa,Wapello County,9504,5818,0,0
570,Iowa,Warren County,17738,12537,0,0
571,Iowa,Washington County,6966,4558,0,0
572,Iowa,Wayne County,2338,727,0,0
573,Iowa,Webster County,10927,6604,0,0
574,Iowa,Winnebago County,3692,2123,0,0
575,Iowa,Winneshiek County,6234,5616,0,0
576,Iowa,Woodbury County,25700,18683,0,0
577,Iowa,Worth County,2732,1593,0,0
578,Iowa,Wright County,4135,1995,0,0
579,Kansas,Allen County,5486,1836,0,0
580,Kansas,Anderson County,2874,765,0,0
581,Kansas,Atchison County,4826,2314,0,0
582,Kansas,Barber County,1992,284,0,0
583,Kansas,Barton County,8480,2302,0,0
584,Kansas,Bourbon County,4906,1504,0,0
585,Kansas,Brown County,3206,1088,0,0
586,Kansas,Butler County,22250,9003,0,0
587,Kansas,Chase County,1114,341,0,0
588,Kansas,Chautauqua County,1397,212,0,0
589,Kansas,Cherokee County,6622,2163,0,0
590,Kansas,Cheyenne County,1158,220,0,0
591,Kansas,Clark County,885,143,0,0
592,Kansas,Clay County,3120,879,0,0
593,Kansas,Cloud County,3182,893,0,0
594,Kansas,Coffey County,3403,926,0,0
595,Kansas,Comanche County,743,124,0,0
596,Kansas,Cowley County,9442,4171,0,0
597,Kansas,Crawford County,9752,5971,0,0
598,Kansas,Decatur County,1232,208,0,0
599,Kansas,Dickinson County,7045,2040,0,0
600,Kansas,Doniphan County,2949,678,0,0
601,Kansas,Douglas County,16737,39436,0,0
602,Kansas,Edwards County,1127,267,0,0
603,Kansas,Elk County,1130,191,0,0
604,Kansas,Ellis County,9569,3633,0,0
605,Kansas,Ellsworth County,2106,646,0,0
